Size,Entropy,Rank
Qwen2.5-3B,110.1827,1.0384159
Qwen2.5-3B,111.776794,1.3558131
Qwen2.5-3B,116.99133,0.9074935
Qwen2.5-3B,111.91315,0.9865595
Qwen2.5-3B,112.07062,0.99694
Qwen2.5-3B,109.87202,1.1288104
Qwen2.5-3B,123.48959,0.8655949
Qwen2.5-3B,112.601265,0.9278992
Qwen2.5-3B,103.182755,1.0849869
Qwen2.5-3B,115.215866,1.2498628
Qwen2.5-3B,124.214966,0.9104291
Qwen2.5-3B,111.8183,0.96715283
Qwen2.5-3B,110.56153,1.110621
Qwen2.5-3B,116.05064,1.4006306
Qwen2.5-3B,125.36517,0.8939215
Qwen2.5-3B,109.88042,0.9986508
Qwen2.5-3B,110.01229,1.15475
Qwen2.5-0.5B,62.425873,1.3478715
Qwen2.5-0.5B,60.29246,0.23954904
Qwen2.5-0.5B,65.48874,0.7369729
Qwen2.5-0.5B,58.784946,0.3157691
Qwen2.5-0.5B,58.139477,1.1115733
Qwen2.5-0.5B,58.474216,0.33611345
Qwen2.5-0.5B,59.904377,0.63561016
Qwen2.5-0.5B,57.742146,0.34759086
Qwen2.5-0.5B,56.388275,0.6363141
Qwen2.5-0.5B,65.64672,0.42216104
Qwen2.5-0.5B,56.722954,0.4698011
Qwen2.5-0.5B,61.156013,0.6092397
Qwen2.5-0.5B,52.8704,0.58958185
Qwen2.5-0.5B,54.690525,0.34851885
Qwen2.5-0.5B,55.850307,0.3903875
Qwen2.5-0.5B,60.071255,0.50005805
Qwen2.5-0.5B,57.812775,0.6217945
Qwen2.5-0.5B,66.71374,0.4053786
Qwen2.5-0.5B,59.624825,0.46759534
Qwen2.5-0.5B,61.604813,0.5658812
Qwen2.5-0.5B,50.759655,0.6360138
Qwen2.5-0.5B,67.68912,0.38883156
Qwen2.5-0.5B,59.600346,0.44118813
Qwen2.5-0.5B,58.893524,0.54725033
Qwen2.5-0.5B,55.2247,0.5741557
Qwen2.5-0.5B,72.612206,0.41015288
Qwen2.5-0.5B,59.556057,0.4497273
Qwen2.5-0.5B,57.238514,0.62397665
Qwen2.5-0.5B,57.93421,0.64381653
Qwen2.5-0.5B,67.97514,0.38159472
Qwen2.5-0.5B,57.952236,0.44271922
Qwen2.5-0.5B,54.119076,0.5892962
Qwen2.5-0.5B,56.404224,0.5514522
Qwen2.5-0.5B,49.80883,0.40079048
Qwen2.5-0.5B,57.22094,0.45835808
Qwen2.5-0.5B,45.100716,0.5450326
Qwen2.5-0.5B,56.664234,0.5686072
Qwen2.5-0.5B,56.81986,0.43838826
Qwen2.5-0.5B,57.566456,0.4696541
Qwen2.5-0.5B,54.925346,0.61435175
Qwen2.5-0.5B,56.912697,0.6224903
Qwen2.5-0.5B,65.12482,0.44934782
